date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:24	17249/17249	---MCZ	200	added ('OK')	text/html	etag:W/%22631804dd-4361%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/bloglist.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/bloglist.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:25	18285/18285	---MCZ	200	added ('OK')	text/html	etag:W/%22631804dd-476d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/bloggrid.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/bloggrid.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:25	19786/19786	---MCZ	200	added ('OK')	text/html	etag:W/%22631804dd-4d4a%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/blogdetail.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/blogdetail.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:25	24162/24162	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-5e62%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userfavoritegrid.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userfavoritegrid.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:25	17345/17345	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-43c1%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userfavoritelist.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userfavoritelist.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:26	14621/14621	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-391d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userprofile.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userprofile.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:26	15665/15665	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-3d31%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userrate.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/userrate.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:26	5503/5503	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-157f%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/landing.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/landing.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:26	4895/4895	---MCZ	200	added ('OK')	text/html	etag:W/%22631804dd-131f%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/404.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/404.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:27	5861/5861	---MCZ	200	added ('OK')	text/html	etag:W/%22631804de-16e5%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/comingsoon.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/comingsoon.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:27	13208/13208	---M--	200	added ('OK')	image/jpeg	etag:%22631804ed-3398%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider1.jpg	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider1.jpg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:30	12381/12381	---M--	200	added ('OK')	image/jpeg	etag:%22631804f0-305d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/mv-item1.jpg	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/mv-item1.jpg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:30	18576/18576	---M--	200	added ('OK')	image/jpeg	etag:%22631804ed-4890%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider3.jpg	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider3.jpg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:31	8836/8836	---M--	200	added ('OK')	image/jpeg	etag:%22631804ef-2284%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/mv-item2.jpg	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/mv-item2.jpg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:32	29292/29292	---M--	200	added ('OK')	image/jpeg	etag:%22631804f0-726c%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider4.jpg	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/uploads/slider4.jpg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
